GATS3m	Mor15p	SpMin3_Bh(s)	HOMO-1	PJI3	MATS5e	H8s	G1u
 1.02700000 0.65700000 0.87800000 -0.25800000 0.82300000 -0.06100000 0.31700000 0.16500000
 1.07700000 0.83900000 0.86600000 -0.26500000 0.77200000 -0.08000000 2.22600000 0.19700000
 0.97600000 0.61800000 0.90800000 -0.25800000 0.71400000 -0.05200000 0.22500000 0.16200000
 1.03300000 0.89900000 0.91000000 -0.25800000 0.77100000 -0.00400000 0.35500000 0.16200000
 1.01100000 0.89700000 0.91200000 -0.25000000 0.77100000 -0.02100000 0.29000000 0.16200000
 0.99500000 0.70300000 0.91800000 -0.24500000 0.83600000 -0.13500000 0.08600000 0.17500000
 0.93400000 0.63700000 1.03400000 -0.25600000 0.73700000 -0.09600000 0.15500000 0.19200000
 0.95900000 0.70000000 1.04800000 -0.26000000 0.75700000 -0.02600000 0.41100000 0.15600000
 0.95900000 0.82300000 1.06200000 -0.25900000 0.81000000 -0.05800000 0.45400000 0.15600000
 0.94000000 1.05000000 1.07400000 -0.25700000 0.83100000 -0.08000000 0.40800000 0.18000000
 0.93700000 0.77200000 1.04800000 -0.25400000 0.78900000 -0.04600000 0.09900000 0.16200000
 0.96500000 0.74300000 1.01800000 -0.25900000 0.75000000 -0.00800000 0.29900000 0.15600000
 0.93700000 1.04000000 1.07300000 -0.25700000 0.81700000 -0.04000000 0.26400000 0.17800000
 0.92100000 0.67400000 1.06400000 -0.25400000 0.71600000 -0.11600000 1.02100000 0.16500000
 0.93900000 0.68100000 1.04800000 -0.26100000 0.71100000 -0.03500000 0.61700000 0.16500000
 0.91500000 1.05800000 1.07400000 -0.25300000 0.78100000 -0.09700000 0.45000000 0.17000000
 0.97700000 0.86800000 1.06600000 -0.24800000 0.83800000 -0.05600000 0.76800000 0.14900000
 0.99400000 0.98100000 1.04800000 -0.24900000 0.68200000 -0.00400000 1.91800000 0.19400000
 0.96900000 0.95900000 1.06100000 -0.25000000 0.88100000 -0.02400000 1.00500000 0.17600000
 0.91600000 1.12200000 1.07400000 -0.25100000 0.90000000 -0.03800000 1.91300000 0.15900000
 0.96500000 0.79300000 1.14400000 -0.24800000 0.84200000 -0.07500000 1.20100000 0.18900000
 0.89900000 1.32000000 1.10400000 -0.24800000 0.91600000 -0.05300000 1.28700000 0.16400000
 1.08400000 0.73900000 1.04300000 -0.24600000 0.82600000 -0.09000000 0.42500000 0.16400000
 1.05700000 0.78200000 1.03100000 -0.25300000 0.87100000 0.00400000 0.25800000 0.18000000
 0.98200000 1.07500000 1.06600000 -0.25200000 0.70900000 -0.01900000 0.27500000 0.19500000
 0.93700000 0.87200000 1.03600000 -0.25600000 0.74100000 -0.04600000 0.16500000 0.21400000
 1.03200000 0.74000000 1.06500000 -0.22900000 0.83100000 -0.10300000 0.51500000 0.16400000
 1.07300000 0.90800000 1.07000000 -0.22900000 0.98400000 0.00300000 0.88300000 0.15800000
 1.06800000 1.00600000 1.07200000 -0.23900000 0.80400000 0.03400000 0.45300000 0.17500000
 0.90800000 1.28800000 1.07100000 -0.23700000 0.80000000 0.03300000 0.98600000 0.14900000
 1.07700000 0.69700000 0.86500000 -0.25000000 0.78800000 -0.01100000 0.40800000 0.16500000
 1.11700000 1.27100000 1.22800000 -0.22200000 0.91000000 0.01400000 1.27300000 0.15600000
 1.09900000 1.36200000 1.22600000 -0.22900000 0.89300000 0.04000000 1.84300000 0.15000000
 1.01900000 0.78500000 1.06400000 -0.25300000 0.74700000 0.13100000 0.25800000 0.17800000
 1.13100000 1.42700000 1.08200000 -0.22900000 0.82800000 -0.00100000 1.30600000 0.16300000
 1.12400000 1.27400000 1.13000000 -0.22900000 0.83800000 0.02200000 1.69900000 0.15300000
 1.12500000 1.30500000 1.12400000 -0.23100000 0.83600000 0.03900000 2.30600000 0.14500000
 1.02400000 1.35900000 1.15100000 -0.23300000 0.82400000 -0.00100000 2.12400000 0.15100000
 1.07200000 1.32500000 1.13000000 -0.23200000 0.88300000 0.03600000 1.93800000 0.14500000
 1.03000000 1.31700000 1.08300000 -0.23100000 0.85700000 -0.03700000 1.24300000 0.16300000
 1.14100000 1.31600000 1.21500000 -0.22000000 0.89500000 -0.07300000 1.54200000 0.15500000
 1.12400000 1.45600000 1.21400000 -0.22700000 0.87100000 -0.01400000 2.09900000 0.15500000
 1.00300000 1.17700000 1.21900000 -0.23200000 0.90200000 0.02900000 1.02200000 0.15000000
 1.00200000 1.27500000 1.21800000 -0.24000000 0.90800000 0.03000000 1.47200000 0.15700000
 1.13900000 1.09400000 1.05300000 -0.24200000 0.76700000 -0.04900000 1.02400000 0.16400000
 1.08200000 0.89000000 1.11000000 -0.24000000 0.67900000 -0.00600000 0.91400000 0.16500000
 1.14100000 1.00500000 1.11100000 -0.24500000 0.88500000 -0.00600000 1.87800000 0.14600000
 1.09000000 1.08300000 1.11900000 -0.24500000 0.84300000 -0.01300000 1.82700000 0.15400000
 1.04400000 1.24700000 1.04800000 -0.24900000 0.75900000 -0.06700000 1.68100000 0.15600000

